Category,Question,Answer
"""X""s & ""O""s","Cross-country skiing is sometimes referred to by these 2 letters, the same ones used to denote 90 in Roman numerals",XC
DR. SEUSS AT THE MULTIPLEX,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_24.mp3"">""500 Hats""... 500 ways to die.  On July 4th, this young boy will defy a king... & become a legend</a>",Bartholomew Cubbins
AIRLINE TRAVEL,"In the seat pocket you'll find the catalog called ""Sky"" this, with must-haves like a solar-powered patio umbrella",Mall
THAT OLD-TIME RELIGION,In 1534 he & his buddy Francis Xavier founded the Society of Jesus,(St. Ignatius) Loyola
MUSICAL TRAINS,"In 1961 James Brown announced ""all aboard"" for this train","""Night Train"""
"""X""s & ""O""s",This 1797 imbroglio began when 3 French agents demanded a huge bribe from U.S. diplomats,the XYZ Affair
THE SOLAR SYSTEM,Objects that pass closer to the sun than Mercury have been named for this mythological figure,Icarus
"GEOGRAPHY ""E""",It's the largest kingdom in the United Kingdom,England
RADIO DISNEY,"""Party In The U.S.A."" is by this singer who also plays a young lady named Hannah",Miley Cyrus
PARTS OF PEACH,"If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine",the skin
BE FRUITFUL & MULTIPLY,4 x 12,48
LET'S BOUNCE,This verb for bouncing a basketball sounds like you're slobbering,dribbling
RHYMES WITH SMART,Blood pumper,heart
"GEOGRAPHY ""E""","(<a href=""http://www.j-archive.com/media/2010-07-06_J_22.wmv"">Tate: I'm Tate Shaffer aboard the <i>National Geographic Endeavour</i>.  Alex: And...</a>)  We're here in the Galapagos Islands at zero degrees latitude, which means we're right above this imaginary line that goes all the way around the Earth",the equator
RADIO DISNEY,"""Everybody Else"" knows these huggable toys precede ""On Fire"" in the name of a Radio Disney top 30 band; do you?",Care Bears
PARTS OF PEACH,Peaches are more than 80% this compound,H2O
BE FRUITFUL & MULTIPLY,7 x 7 x 2,98
LET'S BOUNCE,Sound navigation& ranging is the full name for this device that bounces radio waves underwater,sonar
RHYMES WITH SMART,"Small, slender missile thrown at a board in a game",a dart
"GEOGRAPHY ""E""","This island in the South Pacific is named for the day of its discovery, a religious holiday",Easter Island
RADIO DISNEY,"""The songs on 'Under My Skin' are...deeper than those on 'Let Go'"" said this Canadian on Radio Disney's website",Avril Lavigne
PARTS OF PEACH,5-letter word for the hard interior of a peach,the stone
BE FRUITFUL & MULTIPLY,3 x 4 x 5 x 6,360
LET'S BOUNCE,"In this kid's game, you bounce a small rubber ball while picking up 6-pronged metal objects",jacks
RHYMES WITH SMART,It can be a separating line in your hair or a role in a play,a part
"GEOGRAPHY ""E""",Parts of the Arabian and Libyan deserts are found in this African country,Egypt
RADIO DISNEY,"""I Never Told You"" this alliteratively named singer hit Disney's Top 30 with ""Fallin' For You""; wait, I just did",Colbie Caillat
PARTS OF PEACH,"These parts of a peach tree are glossy green, pointed & lance shaped",leaves
BE FRUITFUL & MULTIPLY,5 x 10 x 15,750
LET'S BOUNCE,"It's a type of bounce house, or a dance made famous by Michael Jackson",the moonwalk
RHYMES WITH SMART,A graphic representation of information,a chart
"GEOGRAPHY ""E""",The family history you wrote for school might include entering the U.S. at this island in New York Bay,Ellis Island
RADIO DISNEY,"Lead singer Ryan Tedder of this band has ""All The Right Moves""",OneRepublic
PARTS OF PEACH,These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink,blossoms
BE FRUITFUL & MULTIPLY,"2 x 1,035","2,070"
LET'S BOUNCE,"This device whose name is from the Italian for ""springboard"" was perfected in the 1930s",a trampoline
RHYMES WITH SMART,Composer Wolfgang,Mozart
SCIENCE CLASS,99.95% of the mass of an atom is in this part,the nucleus
KIDS IN SPORTS,"Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series",the Little League
JUST THE FACTS,This hero of several books is 11 when he discovers he's a wizard,Harry Potter
SEE & SAY,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_26.jpg"" target=""_blank"">this</a> type of mollusk you see",an octopus
NEWS TO ME,"A 7.0 magnitude earthquake in this Caribbean country Jan. 12, 2010 brought a world outpouring of aid",Haiti
IN THE DICTIONARY,It's the 4-letter name of the pleated skirt worn by men in Scotland,a kilt
SCIENCE CLASS,"During this plant process, carbon dioxide & water combine with light energy to create oxygen & glucose",photosynthesis
KIDS IN SPORTS,The perfect waves of New Zealand's Piha Beach were the site for the 2010 World Junior Championships of this,surfing
JUST THE FACTS,"This city, the seat of Clark County, Nevada, has been called ""the entertainment capital of the world""",Las Vegas
SEE & SAY,"Say <a href=""http://www.j-archive.com/media/2010-07-06_DJ_27.jpg"" target=""_blank"">this</a> state that was admitted to the Union in 1859",Oregon
NEWS TO ME,This car company has been in the news for widespread recalls of its Corollas & other models,Toyota
IN THE DICTIONARY,"As an adjective, it can mean proper; as a verb, ""to grade papers""",correct
SCIENCE CLASS,The wedge is an adaptation of the simple machine called the inclined this,plane
KIDS IN SPORTS,"With a mighty leap of 5'1"", David Mosely set the U.S. 10 & under record in this event back in 1977",the high jump
JUST THE FACTS,"<a href=""http://www.j-archive.com/media/2010-07-06_DJ_14.jpg"" target=""_blank"">This dog breed seen here</a> is a loyal and protective companion",a German Shepherd
SEE & SAY,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_28.jpg"" target=""_blank"">this</a> bug; don't worry, it doesn't breathe fire",the dragonfly
NEWS TO ME,"(<a href=""http://www.j-archive.com/media/2010-07-06_DJ_21.wmv"">Jimmy of the Clue Crew demonstrates, putting his arm over his mouth.</a>) To avoid spreading germs & maybe flu, we learned the sneeze named for this character made famous in an 1897 book",Dracula
IN THE DICTIONARY,Maize is another word for this,corn
SCIENCE CLASS,"Of the 6 noble gases on the periodic table, it is the lightest",helium
KIDS IN SPORTS,11-year-old Ashlyn White won a 2009 U.S. youth title in this martial art in which you try to throw your opponent,judo
JUST THE FACTS,"In 1751 the Penn Provincial Assembly placed the order for this symbol of freedom, now in Philadelphia",the Liberty Bell
SEE & SAY,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_29.jpg"" target=""_blank"">these</a> big trees; it has a color in it",redwood
NEWS TO ME,"In a surprise, Ted Kennedy's old Senate seat in this state went to a Republican in a January 2010 election",Massachusetts
IN THE DICTIONARY,"This word for someone who walks comes from the Latin for ""foot""",pedestrian
SCIENCE CLASS,Lava & igneous rock are formed from this hot liquid rock material found under the earth's crust,magma
KIDS IN SPORTS,This sport has an under-17 World Cup every 2 years; Haris Seferovic starred for the 2009 champion Switzerland,soccer
JUST THE FACTS,He's the older son of Prince Charles and the late Princess Diana,Prince William
SEE & SAY,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_30.jpg"" target=""_blank"">this</a> man you see shaking hands with the Premier of China",Ronald Reagan
NEWS TO ME,"Falcon Heene, who it turned out was safe at home, not flying over Colorado, became known as this ""boy""",the balloon boy
IN THE DICTIONARY,"Kayak is an example of this, a word that reads the same forwards & backwards",a palindrome
HISTORIC WOMEN,"She was born in Virginia around 1596 & died in Kent, England in 1617",Pocahontas
ROYAL FEMALE NICKNAMES,"Prime Minister Tony Blair dubbed her ""The People's Princess""",Princess Diana
TV ACTORS & ROLES,"Once Tommy Mullaney on ""L.A. Law"", John Spencer now plays White House chief of staff Leo McGarry on this series",The West Wing
TRAVEL & TOURISM,The Cinderella Castle Mystery Tour is a highlight of this Asian city's Disneyland,Tokyo
"""I"" LADS",This punk rock hitmaker heard here has had numerous hits on both sides of the Atlantic,Billy Idol
FOREWORDS,"""Conrad begins (and ends) Marlow's journey... on the Thames, on the yawl, Nellie"", says the foreword to this novel",Heart of Darkness
BACKWORDS,We'll look smart in these vehicles that returned to London in 1999,Trams (smart)
ROYAL FEMALE NICKNAMES,"She was ""The Untamed Heifer"" & ""The Virgin Queen""",Elizabeth I
TV ACTORS & ROLES,"Barbra Streisand knows he played Lt. Col. Bill ""Raider"" Kelly on ""Pensacola: Wings of Gold""",James Brolin
TRAVEL & TOURISM,"The home of silk merchant Jim Thompson, who disappeared in 1967, is a tourist attraction in this Thai city",Bangkok
"""I"" LADS","Czar at 17, he was famous for extraordinary sadism & cruelty, even as a boy",Ivan the Terrible
FOREWORDS,"Part 2 ""is Lilliput in reverse, but...also offers some of"" his ""fiercest assaults upon the behavior of"" his countrymen",Jonathan Swift
BACKWORDS,Ed leaves pools of water on the carpet when he comes in from sailing this boat,Sloop (pools)
ROYAL FEMALE NICKNAMES,"Mark Antony called her ""The Queen of Queens""",Cleopatra
TV ACTORS & ROLES,"(Hi, I'm Wallace Langham)  I played Don Kirshner in VH1's TV movie about this quartet who sang ""Daydream Believer""",The Monkees
TRAVEL & TOURISM,We're not stringing you along: this capital of the Czech Republic is famous for its puppet theatres,Prague
"""I"" LADS","Nudge, nudge, wink, wink!  This man seen here starred on a classic British comedy show",Eric Idle
FOREWORDS,"She said that her husband Frank O'Connor was the fuel that kept her spirited while she wrote ""The Fountainhead""",Ayn Rand
BACKWORDS,You'd be naive to think you can make bottled water that's more popular than this,Evian (naive)
ROYAL FEMALE NICKNAMES,"The 19th century's ""Widow of Windsor""",Queen Victoria
TV ACTORS & ROLES,"Teri Hatcher looked ""shipshape"" as one of the singing ""mermaids"" who jumped on board this cruisin' series in 1985",The Love Boat
TRAVEL & TOURISM,Jomo Kenyatta International Airport serves this world capital,"Nairobi, Kenya"
"""I"" LADS",His is the first & longest book of the Bible's major prophets,Isaiah
FOREWORDS,"One edition calls this Darwin opus one of ""the most readable and approachable"" of revolutionary scientific works",The Origin of Species
BACKWORDS,"Aye, lass, I'll wed thee ere this has dried on the fields",Dew (wed)
ROYAL FEMALE NICKNAMES,"""The Catholic"" of 15th century Spain",Queen Isabella
TV ACTORS & ROLES,"On ""Saturday Night Live"", he's famous for playing Craig the Cheerleader, Janet Reno & moi",Will Ferrell
TRAVEL & TOURISM,"Andrea Palladio's 1554 book on ""The Antiquities of"" this city was the standard guidebook for some 200 years",Rome
"""I"" LADS",This auto exec's autobiography is one of the bestselling nonfiction works in publishing history,Lee Iacocca
BACKWORDS,"You know so much about policy, you qualify as this",Wonk (know)
PEOPLE IN HISTORY,"After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699",William Penn
CINEMATIC DICTIONARY,"SFX is the standard abbreviation for these, from the rustling of trees to cannon fire",Sound effects
IT'S OURS!,Saint-Pierre & Miquelon,France
BRITISH FASHION,"Designer Vivienne Westwood ran a shop with Malcolm McLaren, who launched this Johnny Rotten band",The Sex Pistols
ANDY WARHOL,"Because he had the same thing for lunch every day for 20 years, Andy Warhol painted these, beginning in 1962",Campbell's Soup cans
"THEATRE CROSSWORD CLUES ""M""","Lerner & Loewe's ""Lusty Month"" (3)",May
PEOPLE IN HISTORY,This young man put his savings into a small Cleveland refinery in 1862 & eventually had an oil monopoly,John D. Rockefeller
CINEMATIC DICTIONARY,"Term for the flow of a film, maintained by keeping details consistent throughout a scene",Continuity
IT'S OURS!,Montserrat,Great Britain (United Kingdom)
BRITISH FASHION,Star designer John Galliano was born Juan Carlos Galliano in this British possession at the tip of Spain,Gibraltar
ANDY WARHOL,"Warhol went against his Capitalist tendencies with his portrait of this man, seen here",Mao Tse-tung
"THEATRE CROSSWORD CLUES ""M""","Patrick Dennis' ""Auntie"" (4)",Mame
PEOPLE IN HISTORY,First Lady Helen Taft led a fund-raising drive for a memorial to this 1912 marine disaster,Sinking of the Titanic
CINEMATIC DICTIONARY,"Garland Jeffreys sang of having star-studded ""dreams"" of this size, like movie film",35mm
IT'S OURS!,Cook Islands,New Zealand
BRITISH FASHION,"Katharine Hamnett created the '80s T-shirt telling us to ""choose"" this",Life
ANDY WARHOL,"Andy's ""15 minutes of fame"" quote was once the motto of this magazine",Interview
"THEATRE CROSSWORD CLUES ""M""","It ""Becomes Electra"" (8)",Mourning
PEOPLE IN HISTORY,This Chiricahua Apache was a popular attraction at the 1904 World's Fair in St. Louis,Geronimo
CINEMATIC DICTIONARY,The inventors of this camera-stabilizing device won a special 1977 Oscar,Steadicam
IT'S OURS!,Madeira Islands,Portugal
ANDY WARHOL,Andy's loft on East 47th Street got this nickname from its former use & Andy's mass-production techniques,The Factory
"THEATRE CROSSWORD CLUES ""M""",Colchian jilted by Jason (5),Medea
PEOPLE IN HISTORY,"In 1801 this onetime VP compiled ""A Manual of Parliamentary Practice"" still used in the U.S. Senate",Thomas Jefferson
CINEMATIC DICTIONARY,"Near the end of the credits comes the ""cutter"" of this, the exposed but unfinished film",Negative cutter
IT'S OURS!,Northern Mariana Islands,USA
ANDY WARHOL,Warhol became the manager of this Lou Reed rock group in 1965 & produced their first album,Velvet Underground
"THEATRE CROSSWORD CLUES ""M""",Faust's fiendish foe (14),Mephistopheles
SPORTS LEGENDS,"If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract",H.J. Heinz (Heinz 57 Varieties)
GENERAL SCIENCE,"This white, glossy coating on your teeth is the hardest substance in the human body",Enamel
GETTING POSSESSIVE,"This bovine took the rap for the disastrous fire of October 8, 1871",Mrs. O'Leary's cow
FLAGS OF THE WORLD,It's the kingdom whose flag is seen here (Union Jack),Great Britain/England
ARCHITECTS,Minoru Yamasaki reached new heights with this New York City complex,World Trade Center
1994 FILMS,Quentin Tarantino directed this film & also had a bit role as Jimmy of Toluca Lake,Pulp Fiction
THE EYES HAVE IT,"A student, or a minor in Roman law",Pupil
GENERAL SCIENCE,The time it takes for 50% of the atoms to decay in a radioactive substance is called this,Half-life
GETTING POSSESSIVE,"At 14,140 feet, this Rocky Mountain peak discovered in 1806 is one of Colorado's highest",Pike's Peak
FLAGS OF THE WORLD,Seen here is the flag of this nation (the home of Bollywood),India
ARCHITECTS,"William Pereira erected his Transamerica ""Pyramid"" in this city",San Francisco
1994 FILMS,"As mad bomber Howard Payne in this film, Dennis Hopper planted a bomb on an L.A. area transit bus",Speed
THE EYES HAVE IT,A blow with a whip,Lash
GENERAL SCIENCE,"While compounds of this element are added to table salt, in its pure form it's quite poisonous",Iodine
GETTING POSSESSIVE,"While one creation slept, God took this to make Eve",Adam's rib
FLAGS OF THE WORLD,Andy Garcia is a native of this country whose flag is seen here,Cuba
ARCHITECTS,"Charles Bulfinch, who contributed to the Capitol in Washington, D.C., designed this city's state house on Beacon Hill",Boston
1994 FILMS,"Jean Vander Pyl, who played Wilma in the original cartoon series, played Mrs. Feldspar in this movie adaptation",The Flintstones
THE EYES HAVE IT,A hollow area that holds a light bulb,Socket
GENERAL SCIENCE,"The ""super"" class of these stars, the largest known, includes Antares & Betelgeuse",Red giants
GETTING POSSESSIVE,You'll find this triangular island about 4 miles off the southeast coast of Massachusetts,Martha's Vineyard
FLAGS OF THE WORLD,"In the 1990s, this nation whose flag is seen here moved its seat of government to a different city",Germany
ARCHITECTS,Dallas-Fort Worth Airport architect Gyo Obata helped design this Smithsonian museum,Air & Space Museum
1994 FILMS,"Containing the hit ""Can You Feel The Love Tonight"", it was Disney's first animated feature not based on an existing story",The Lion King
THE EYES HAVE IT,Flower seen here (that fits the category),Iris
